ID,fG-T,fG-R,fG-K,fG-C,fG-A
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,-5.56649609363576,0.7054582303661336,0.799128459553417,0.8160799019222302,0.7054582303661336
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,-5.463160830119053,0.5424127924181453,0.62262816966779,0.6703989821304804,0.5424127924181453
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,-3.0177540208671525,0.6204994115375015,0.6440681727819765,0.7839079823298013,0.6204994115375015
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,-3.971291030883967,0.6299854715731085,0.7433232075926424,0.6406922714949967,0.6299854715731085
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,-1.7223156188933155,0.7754985211869514,0.8524075977945728,0.8062927059669314,0.7754985211869514
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,0.5147467662606495,0.7510936011178455,0.7509639889694177,0.7981893299334456,0.7510936011178455
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,-9.558739955888708,0.659387060202989,0.7290115753679123,0.7252568938037383,0.7252568938037383
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,-1.9786395422522347,0.536098329956265,0.640300853520458,0.7134414355215468,0.7134414355215468
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,-0.7588014932218471,0.6386245948939447,0.6670157864991416,0.6382712296284107,0.6386245948939447
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,-2.1457041509787516,0.5762848843664653,0.6736401617237502,0.7930647778306535,0.5762848843664653
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,-3.014372634470007,0.38005196589558593,0.7542119647780933,0.7354112184721777,0.38005196589558593
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,0.5700267992054906,0.6500916585768066,0.7750331579073989,0.7401166278762221,0.6500916585768066
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,-16.52616645392595,0.09509843192702369,0.4604801921248029,0.4051489610720024,0.4051489610720024
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,-1.8781309437287403,0.6237251039138848,0.6738734074267567,0.6431713301698148,0.6431713301698148
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,-3.7149403982751443,0.6013015368155886,0.8901381629560321,0.9002846715506616,0.6013015368155886
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,-2.942484237485324,0.6306903496730764,0.750034465189723,0.6823182411750084,0.6306903496730764
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,0.07043619386874843,0.56389832128931,0.6049679442610717,0.7441501889369156,0.56389832128931
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,-4.033911521573125,0.6956257714018682,0.8613116722909454,0.8426084883024512,0.6956257714018682
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl134,-5.692860258223237,0.5309180501449431,0.6182097228635883,0.6564583606190625,0.5309180501449431
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl162,-1.6723631891735238,0.7268143510169235,0.8697617617269473,0.8174843306345356,0.7268143510169235
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl81,-1.5058797374129935,0.8284827782951564,-0.10452770375997093,0.24862802493845673,0.8284827782951564
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl30,-1.3719191276500937,0.6545789893865007,0.6228301256863891,0.852756735897998,0.6545789893865007
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,-4.391718950226655,0.56389832128931,0.6049679442610717,0.7441501889369156,0.7441501889369156
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,-5.694408410143584,0.5881797978573956,0.8216116833076007,0.8129443752843997,0.8129443752843997
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,-6.130962195733438,0.6279649505457926,0.7453240311395372,0.709737538308996,0.709737538308996
