ID,fG-T,fG-R,fG-K,fG-C,fG-A
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,-24.871236330903116,0.6272700869181617,-0.07698762083336529,-0.018229972797893887,0.6272700869181617
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,-24.371465798722745,0.6586262090003193,0.7028326904618525,0.5495461797801285,0.6586262090003193
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,-16.298103024228972,0.6733751067516972,0.7564567490830035,-1.5539721819004377,0.6733751067516972
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,-19.872727203852666,0.18963119206264417,-0.14212483635721906,-0.5319717956774913,0.18963119206264417
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,-12.215475641408874,-0.5763693885925593,-1.0034480338038658,-0.5682274497920464,-0.5763693885925593
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,-3.730672941462434,-0.6205576306051928,-0.6058701140934701,-1.074910505884558,-0.6205576306051928
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,-36.99398991567493,0.06828557842456301,-0.01684212298002144,-0.7727347761918189,-0.7727347761918189
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,-13.467864449688834,0.8718695239721967,0.7204277773414333,0.5988097662511241,0.5988097662511241
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,-8.764970586264264,0.737211739167876,0.5336837930025383,0.6577033358639576,0.737211739167876
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,-13.182285944991138,-0.6089972360773097,-1.1636282061121548,-0.8470472800578704,-0.6089972360773097
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,-16.27468453251494,-1.9710229160971928,-1.1701657841752815,-0.8977284735795917,-1.9710229160971928
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,-3.2640054686007076,-0.05210835941462544,-0.30795878104965696,-0.280282519945505,-0.05210835941462544
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,-58.99463425877493,-3.241010875546628,-2.320908660526864,-2.5992303673821953,-2.5992303673821953
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,-12.125933431014511,0.43362886708100473,-0.14014463999739168,0.2958711768834501,0.2958711768834501
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,-18.956475596966975,-2.456600557600214,-0.5484970898936385,-0.9898212654252377,-2.456600557600214
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,-16.07720163228431,-0.05567910993791644,-0.051171074625075974,-0.07981065247624088,-0.05567910993791644
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,-5.584554030268098,0.8258210256811531,0.8400791846951204,0.38690805987246046,0.8258210256811531
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,-19.68996688132468,-1.4060205693678507,-0.750571269450647,-0.9019462090494342,-1.4060205693678507
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl134,-24.96526022037141,0.6777617914867959,0.7298479004198658,0.5839727222707143,0.6777617914867959
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl162,-11.823740527431632,-1.9364620642594577,-1.2426185328649668,-0.5454115833505848,-1.9364620642594577
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl81,-11.374264210775419,-1.5352890447468432,-4.876779182248222,-4.4242776769741985,-1.5352890447468432
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl30,-11.197177370541818,-0.7263386186248216,-2.940700898647023,-0.24598229506699382,-0.7263386186248216
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,-21.091314236690035,0.8258210256811531,0.8400791846951204,0.38690805987246046,0.38690805987246046
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,-25.275905354250963,0.8001639682181545,-0.20040552545889503,-0.23357414490422643,-0.23357414490422643
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,-26.245945697026993,-0.4580464075548019,0.02877205281213977,-0.26839915847393564,-0.26839915847393564
90237211-82c9-4695-9a59-8d975f6bef3a_lvl149,-23.57509114187656,0.4789854114639418,-2.0313897606705877,-0.08769660910427451,-0.08769660910427451
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl170,-11.677413261826054,0.6608270874621541,-0.015510361585726223,0.2766411698071158,0.6608270874621541
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl168,-4.95780214526739,-1.518314901641341,-0.03551194573435417,-1.546501877485764,-1.518314901641341
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl40,-7.50501750037533,0.5252030421077696,-0.17720464076477133,-0.2600710806319228,0.5252030421077696
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl53,-10.708212233992562,-0.05210835941462544,-0.30795878104965696,-0.280282519945505,-0.05210835941462544
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,-17.878668507174236,-1.2633718766990414,-1.1163520347285663,-1.1533910837778292,-1.2633718766990414
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,-10.607038588399233,-0.38009638652937866,0.024005855262153344,-0.24624674223487392,-0.38009638652937866
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,-16.31692792574609,-1.1692963102869312,-1.3519562723466394,-1.5095928837900552,-1.1692963102869312
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,-10.671031559603588,0.3789395013614892,-0.6645017060974918,0.10148559825553054,0.3789395013614892
