ID,fG-T,fG-R,fG-K,fG-C,fG-A
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,-13.48655132235139,0.9308183038425691,0.8109807885970024,0.8792247225857989,0.9308183038425691
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,-13.203069955424118,0.7473271574385802,0.8534166411763161,0.8459154080698894,0.7473271574385802
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,-8.436276780523777,0.8753909786078236,0.9258880150598939,0.13785859490803634,0.8753909786078236
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,-10.487445846121124,0.6294438948142398,0.6381856065508991,0.4644672187758397,0.6294438948142398
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,-5.92817739116594,0.49480229950032745,0.4174909489020486,0.5038805589334342,0.49480229950032745
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,-0.8911748238956846,0.4497147111633209,0.4920352372203039,0.3155249881324769,0.4497147111633209
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,-20.82163204464305,0.6302075467788395,0.7734195911420673,0.36870522187237414,0.36870522187237414
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,-6.644528193622821,0.7992093364797402,0.8766758219523514,0.8910190696685707,0.8910190696685707
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,-3.8995989219238307,0.9118953808327248,0.8968600222626306,0.8711160015242434,0.9118953808327248
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,-6.561565945850895,0.2376653557395988,0.072251925137324,0.38725944385875494,0.2376653557395988
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,-8.35377575408285,-0.3355808249119065,0.25631189977437696,0.3996389002834139,-0.3355808249119065
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,-0.727192854329811,0.5614408212481005,0.610034299776917,0.5661645845737756,0.5614408212481005
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,-33.96059007907448,-1.041665425983564,-0.46232053842198817,-0.5796347257998679,-0.5796347257998679
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,-5.912232755288147,0.7399952609743748,0.6265332985556188,0.7320996424521368,0.7320996424521368
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,-9.954075834370656,-0.3854972323210328,0.6690194753970528,0.5010349954401948,-0.3854972323210328
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,-8.2567726110707,0.5200709588225765,0.725735699551708,0.6082184953303954,0.5200709588225765
