ID,fG-T,fG-R,fG-K,fG-C,fG-A
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,-28.42895039607553,0.41591864289288427,-0.4391456078901285,-0.3881429675994331,0.41591864289288427
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,-27.861589499753563,0.5588032807278773,0.5527941118299812,0.3455231562269033,0.5588032807278773
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,-18.754923725386842,0.4992848370579828,0.5931065157410196,-2.1386742651626616,0.4992848370579828
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,-22.805627628143778,-0.01674050959540906,-0.4500541005561278,-0.9050266649255458,-0.01674050959540906
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,-14.186725359116478,-0.955990094307462,-1.5094223118337298,-0.9581026424209952,-0.955990094307462
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,-4.639755976894157,-1.0136126518478588,-1.0323956386404223,-1.5702537971101955,-1.0136126518478588
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,-42.047851750372395,-0.16192196696841557,-0.32114385175343785,-1.1760780313055907,-1.1760780313055907
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,-15.600157029709464,0.8226848425989487,0.5634892914001101,0.4022779455140721,0.4022779455140721
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,-10.293708792664182,0.5842007618548316,0.3358257870717136,0.5140765899877212,0.5842007618548316
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,-15.271305454348793,-0.9106906845323024,-1.6144139691438382,-1.3231705406412029,-0.9106906845323024
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,-18.75271057526978,-2.5328540479848405,-1.663004804001519,-1.3544107747222005,-2.5328540479848405
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,-4.113196178190545,-0.29895547166931086,-0.67750407390159,-0.6121417830752327,-0.29895547166931086
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,-66.8177730649313,-4.002901304254025,-2.961921837597403,-3.295400397071202,-3.295400397071202
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,-14.090484633700846,0.22435505928686086,-0.43926340805135805,0.0759224141067405,0.0759224141067405
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,-21.769725522778316,-3.170659141556193,-1.010058058006366,-1.4991441616986296,-3.170659141556193
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,-18.535661360129374,-0.3158411536679609,-0.3756960905557227,-0.35936019261396085,-0.3158411536679609
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,-6.731432807861134,0.7203866391846548,0.726670475870354,0.11132390350448827,0.7203866391846548
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,-22.600022265299785,-1.9556713971904203,-1.2509635528166037,-1.3932806273201315,-1.9556713971904203
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl134,-28.534727271727352,0.5896601261863258,0.5891993038593942,0.39373181920739425,0.5896601261863258
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl162,-13.739141955794448,-2.5545176650063253,-1.7887380627240275,-0.9575943524740597,-2.5545176650063253
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl81,-13.215605060251596,-2.103900855612307,-5.863077260301357,-5.354013066868082,-2.103900855612307
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl30,-13.04563406566907,-1.1492843356828102,-3.7334547640414173,-0.6292845667655657,-1.1492843356828102
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,-24.176538040085813,0.7203866391846548,0.726670475870354,0.11132390350448827,0.11132390350448827
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,-28.884203047341853,0.6987510416293934,-0.6292640224851253,-0.6305715500758404,-0.6305715500758404
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,-29.9706402765138,-0.8051510795485348,-0.32653209207138395,-0.6148904980759053,-0.6148904980759053
90237211-82c9-4695-9a59-8d975f6bef3a_lvl149,-26.97078705842065,0.24296623425274333,-2.6934303638712938,-0.4411456306446903,-0.4411456306446903
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl170,-13.583438747456341,0.5057237347538267,-0.3276977185231427,-0.033918455994527655,0.5057237347538267
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl168,-6.01807370105876,-2.047105341858905,-0.316255688000427,-2.1354736041425983,-2.047105341858905
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl40,-8.853099023005887,0.36598955134759775,-0.5634561042430949,-0.6571294223668251,0.36598955134759775
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl53,-12.466760408263276,-0.29895547166931086,-0.67750407390159,-0.6121417830752327,-0.29895547166931086
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,-20.56231159438054,-1.7844407723106874,-1.6314583113161434,-1.7190170734989243,-1.7844407723106874
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,-12.38172793575866,-0.7331104273984917,-0.304092209277576,-0.635746271556386,-0.7331104273984917
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,-18.805353440273873,-1.6837338564473285,-1.9273394865873612,-2.1137903612316866,-1.6837338564473285
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,-12.4431139677575,0.119042424467847,-1.115031997758854,-0.24888398860417604,0.119042424467847
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl87,-18.987677600139076,-2.328677999934081,-2.853463756536349,-4.690421354078837,-2.853463756536349
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl36,-6.747979645688317,0.7065854922155088,0.2059544633449164,0.3148551237996257,0.2059544633449164
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl34,-18.248699695609048,0.5042734508693304,0.1861150961080128,-1.0257394864834861,0.1861150961080128
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl55,-31.484172144652213,0.5232017500232873,-0.3874057903037327,-0.6213211403758315,-0.3874057903037327
