ID,fval,
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,0.6070897509381958,
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,0.5248010389865103,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,0.5865833766094889,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,0.7185743465168187,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,0.7066681512808501,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,0.6666438900062999,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,0.8037092721346346,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,0.8347545895361389,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,0.7211117283370135,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,0.45503601720475634,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,0.6874141752199339,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,0.7070956454825691,
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,0.5149082270791216,
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,0.7841226868932558,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,0.600204335225971,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,0.8734393968216768,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,0.8379542778529495,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,0.7078872247367478,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl134,0.5380554849080371,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl162,0.482639910488201,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl81,0.519951303832069,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl30,0.6752546288996853,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,0.8379542778529495,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,0.38159876288874983,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,0.6852991414441374,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl149,0.47449702157992985,
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl170,0.4672610272964633,
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl168,0.4721267011251472,
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl40,0.7509425954565075,
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl53,0.7070956454825691,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,0.3847438178213261,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,0.586594211369418,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,0.7626169544434988,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,0.827320375990528,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl87,0.6143303190526483,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl36,0.7454105281133956,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl34,0.7595283106014888,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl55,0.7005550018848439,
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c_lvl184,0.3566500445623317,
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c_lvl166,0.4491158002670554,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl25,0.671258854321404,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl46,0.7838605282030084,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl84,0.6852991414441374,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl142,0.5297234238342267,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl178,0.4456341831463314,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl29,0.7841498625604446,
4324f040-147a-443b-b639-125efb4faf24_lvl134,0.5380554849080371,
4324f040-147a-443b-b639-125efb4faf24_lvl55,0.6738189197533222,
a3bbdd04-4020-4bc8-95d2-692568fe9115_lvl19,0.7970694500882001,
a3bbdd04-4020-4bc8-95d2-692568fe9115_lvl72,0.5967160690151618,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl91,0.5684388692771704,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl69,0.6451812941625463,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl171,0.541186903010585,
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl136,0.5605453910511308,
