ID,fG-T,fG-R,fG-K,fG-C,fG-A
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,-33.00315419415435,0.09064916191268003,-0.9155733520677718,-0.8792632029836674,0.09064916191268003
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,-32.348891401078895,0.401646417632763,0.3004249483384378,0.030485742940396954,0.401646417632763
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,-21.913693198304106,0.22834744781618774,0.30888083274744865,-2.897764592867945,0.22834744781618774
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,-26.576499602232335,-0.3138117260788326,-0.8770539738760491,-1.4169395786539005,-0.3138117260788326
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,-16.726325580486858,-1.4610567486277488,-2.1703838959247608,-1.4980087128514035,-1.4610567486277488
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,-5.813247602092139,-1.5533518202424181,-1.6114206185575135,-2.2266312570082665,-1.5533518202424181
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,-48.54567410926912,-0.5067073700050757,-0.74998026180425,-1.7223002910228153,-1.7223002910228153
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,-18.341676061164552,0.6922373894460461,0.3259484527376482,0.07363695854508745,0.07363695854508745
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,-12.260402673631159,0.35002709162008094,0.03511477297921523,0.2645902723718543,0.35002709162008094
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,-17.957187680665783,-1.325881948975404,-2.21419662784309,-1.965131708333054,-1.325881948975404
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,-21.93874405881172,-3.2641177990003305,-2.323091579221364,-1.9568278250809505,-3.2641177990003305
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,-5.206794395359386,-0.6497112655812457,-1.1929648741610777,-1.0869591000495376,-0.6497112655812457
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,-76.87609438713238,-4.990643532988073,-3.805393912073072,-4.209272416978813,-4.209272416978813
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,-16.616336180011853,-0.08933852219762357,-0.863225682489213,-0.25090578124462776,-0.25090578124462776
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,-25.386761141678615,-4.107719947022268,-1.6275625416036825,-2.1642310611317512,-4.107719947022268
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,-21.696538153073025,-0.690862362269087,-0.8387540485442052,-0.7638917308425232,-0.690862362269087
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,-8.205991236195036,0.5497564139970454,0.5310130325477956,-0.27892958629846104,0.5497564139970454
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,-26.341522044696354,-2.676336204852232,-1.9053683646289934,-2.0373005863694753,-2.676336204852232
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl134,-33.124042052042135,0.4497975482310808,0.34763920268405496,0.10025635852818704,0.4497975482310808
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl162,-16.20180093511807,-3.373545968999852,-2.5246084671401414,-1.520372430671931,-3.373545968999852
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl81,-15.583043295292397,-2.8349731838679033,-7.13117478922682,-6.54938713958879,-2.8349731838679033
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl30,-15.42222124511839,-1.7095648308864433,-4.761548796504972,-1.1444488430135615,-1.7095648308864433
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,-28.143254358737522,0.5497564139970454,0.5310130325477956,-0.27892958629846104,-0.27892958629846104
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,-33.523442938458714,0.4986870812137345,-1.201365798751003,-1.1921002389102293,-1.1921002389102293
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,-34.7650854860838,-1.274495396949066,-0.816602707441636,-1.0863322009513583,-1.0863322009513583
90237211-82c9-4695-9a59-8d975f6bef3a_lvl149,-31.336681808263062,-0.09657149795936255,-3.551050959488181,-0.9142779476229282,-0.9142779476229282
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl170,-16.036855167160983,0.2347665748532524,-0.7520510669691185,-0.46895208848370334,0.2347665748532524
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl168,-7.390723685563751,-2.7329451490484318,-0.702211811862459,-2.9169791434699808,-2.7329451490484318
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl40,-10.595099003149107,0.13170111232903856,-1.0755693070007757,-1.1857378717131513,0.13170111232903856
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl53,-14.728720279328487,-0.6497112655812457,-1.1929648741610777,-1.0869591000495376,-0.6497112655812457
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,-24.012709849360068,-2.4718534695146763,-2.3276679125107593,-2.4689468674436807,-2.4718534695146763
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,-14.663471382363637,-1.200007922107565,-0.7522971950976884,-1.1593958918751441,-1.200007922107565
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,-22.00475767323817,-2.3713277223424267,-2.676725078354748,-2.904213279395515,-2.3713277223424267
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,-14.726596078176783,-0.25916558905558723,-1.7291108901756955,-0.7306279031760211,-0.25916558905558723
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl87,-22.213128141655538,-3.076819645737775,-3.7371373049345538,-5.8406069253819775,-3.7371373049345538
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl36,-8.208972942718397,0.5795377480713125,-0.022277737642609177,-0.0059284677038300175,-0.022277737642609177
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl34,-21.368581965049795,0.2527109715208432,-0.22153656932756363,-1.600788490647907,-0.22153656932756363
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl55,-36.4948361925277,0.3546115482327157,-0.8342919010666254,-1.148888558713036,-0.8342919010666254
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c_lvl184,-26.7349330533926,0.5018797550302035,-1.2678385282270823,-1.3198572742273758,-1.3198572742273758
