ID,fG-T,fG-R,fG-K,fG-C,fG-A
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl89,-47.64060634800656,-1.0265179781273965,-2.5682578901177737,-2.517919865613784,-1.0265179781273965
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a_lvl134,-46.70825748531998,-0.3111134389043765,-0.7887128000718502,-1.1800005784186296,-0.3111134389043765
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,-32.02175551163936,-0.850739039891667,-0.722895335752703,-5.377233406356581,-0.850739039891667
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,-38.643289919315755,-1.4923966635596686,-2.393612326333018,-3.1956182926818313,-1.4923966635596686
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,-24.853046288872076,-3.215795182812695,-4.417147181904794,-3.363818122121152,-3.215795182812695
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,-9.57473711911947,-3.39614688660394,-3.530907084746359,-4.400163960039863,-3.39614688660394
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,-69.33870565773867,-1.7804545161034857,-2.2369650985804457,-3.5418228739964093,-3.5418228739964093
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,-27.11453696182085,-0.03856072674616567,-0.670246535902243,-1.1709869715882881,-1.1709869715882881
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,-18.594518309720684,-0.5937131088012645,-1.0820284637343587,-0.6972116444943354,-0.5937131088012645
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,-26.563527074154297,-2.7420088638992275,-4.280448540654678,-4.120474444949936,-2.7420088638992275
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,-32.134051206145934,-5.681926483751819,-4.5230912572042365,-3.9056621418647604,-5.681926483751819
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,-8.706308690299677,-1.9108713621253615,-2.944568234098597,-2.7598845383850352,-1.9108713621253615
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,-109.06272261817581,-8.24290821300002,-6.668058409855991,-7.2572050924475295,-7.2572050924475295
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,-24.699061128207067,-1.173624782464029,-2.289215091093289,-1.4070818735898651,-1.4070818735898651
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,-36.96127512215959,-7.141728142422504,-3.6178975836718728,-4.366875474223744,-7.141728142422504
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,-31.811343890492708,-2.082508293321698,-2.44645470999288,-2.2154922712033365,-2.082508293321698
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,-12.924578206863528,-0.1474924659761049,-0.376239209567575,-1.6865727238452421,-0.1474924659761049
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,-38.31432133876536,-5.143207146274438,-4.007329250803658,-4.169480372331088,-5.143207146274438
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl134,-47.80984934904948,-0.19316352294166592,-0.7226817374572435,-1.0575210425306716,-0.19316352294166592
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl162,-24.082309668953656,-6.061507975530937,-4.912576561063893,-3.412206520602851,-6.061507975530937
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl81,-23.15884564742296,-5.174404634285814,-11.189086881788294,-10.374584172295055,-5.174404634285814
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4_lvl30,-23.027300219356224,-3.6465972906910022,-8.07732249179825,-2.893070144543272,-3.6465972906910022
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,-40.83674657842302,-0.1474924659761049,-0.376239209567575,-1.6865727238452421,-1.6865727238452421
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,-48.36901059003267,-0.3456234652066542,-3.0607500386048296,-3.0655810347668275,-3.0655810347668275
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,-50.10731015670781,-2.844622541098081,-2.459299595073233,-2.6650502627328483,-2.6650502627328483
90237211-82c9-4695-9a59-8d975f6bef3a_lvl149,-45.30754500775876,-1.3224634218823126,-6.346358101047875,-2.577728157127199,-2.577728157127199
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl170,-23.887787710215857,-0.7603188913986529,-2.24571372422823,-1.967937514786257,-0.7603188913986529
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl168,-11.78320363597973,-5.009090726859643,-2.1336096397453317,-5.445400547684142,-5.009090726859643
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl40,-16.19919332995571,-0.8666020399045954,-2.8056916355110384,-2.960440610661984,-0.8666020399045954
fdb9bf30-0d9b-4985-bdff-661806be4fe5_lvl53,-22.000770729286902,-1.9108713621253615,-2.944568234098597,-2.7598845383850352,-1.9108713621253615
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,-35.05398426529458,-4.748882846873443,-4.659938157527418,-4.873545845155657,-4.748882846873443
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,-21.965050411499565,-2.829845719560225,-2.386656475377925,-2.928420475381174,-2.829845719560225
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,-32.24285121872391,-4.649409094308668,-5.10538923598721,-5.479915461743553,-4.649409094308668
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,-22.053424985637974,-1.674821887784317,-3.781488848208001,-2.359860984427389,-1.674821887784317
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl87,-32.534569874508236,-5.591038732347977,-6.591861147178924,-9.569070817632978,-6.591861147178924
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl36,-12.905375972619611,0.03376347123606373,-0.9171845545652527,-1.2316100956570308,-0.9171845545652527
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl34,-31.35220522726019,-0.7529947038885076,-1.6038972317443636,-3.545548161111127,-1.6038972317443636
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6_lvl55,-52.528961145729255,-0.39830110821351783,-2.3948405777257435,-2.924378759791043,-2.3948405777257435
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c_lvl184,-38.848715798559155,-0.3153442373348444,-3.131695651906683,-3.2423152815836658,-3.2423152815836658
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c_lvl166,-33.295701801197396,-2.3785741505359597,-3.2401021587079684,-3.0147563764848653,-3.0147563764848653
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl25,-156.63757497445917,-3.0382324145661235,-1.369368008887183,-6.202699808290525,-3.0382324145661235
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl46,-41.872760110843736,-3.0455333465421006,-2.9187446855232504,-5.3268564451309235,-3.0455333465421006
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl84,-26.715576739188034,-2.844622541098081,-2.459299595073233,-2.6650502627328483,-2.844622541098081
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl142,-20.123597574057115,-2.182754396774066,-4.513900961510728,-4.611346021001847,-2.182754396774066
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl178,-40.61059123694292,-3.661481514837509,-4.716635781248988,-5.9631042138222226,-5.9631042138222226
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl29,-55.47366177515393,-4.766101797374787,-5.026951544469702,-5.1600032383432906,-5.1600032383432906
4324f040-147a-443b-b639-125efb4faf24_lvl134,-61.35576002089828,-0.19316352294166592,-0.7226817374572435,-1.0575210425306716,-0.19316352294166592
4324f040-147a-443b-b639-125efb4faf24_lvl55,-52.316215127537035,-0.5175397892131726,-2.530976952963878,-3.0160634404033244,-0.5175397892131726
a3bbdd04-4020-4bc8-95d2-692568fe9115_lvl19,-64.9872096307388,-2.521166289237795,-4.731069574992667,-5.859131280945363,-2.521166289237795
a3bbdd04-4020-4bc8-95d2-692568fe9115_lvl72,-55.54973115693165,-1.7174200134441646,-6.229883289226879,-5.328944220245855,-1.7174200134441646
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl91,-66.35902278020451,-1.0050592694952747,-0.3776090615702147,-5.422487671538079,-1.0050592694952747
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl69,-38.070082684947295,-2.2667948267981273,-1.503909982220219,-3.7248870181333187,-2.2667948267981273
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl171,-26.037171783713983,-6.2962552150161,-6.542772799975594,-6.408266063244607,-6.2962552150161
4013d0a0-8554-4fdb-9e59-aa8409877849_lvl136,-27.115637422300257,-4.433128347078374,-4.326443700740092,-2.7934191123812373,-4.433128347078374
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl186,-90.05032182265238,-4.925534966420383,-3.958872057210643,-3.17166656509127,-3.17166656509127
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl31,-61.813277559397335,-0.5937131088012645,-1.0820284637343587,-0.6972116444943354,-0.6972116444943354
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89_lvl114,-96.62025787240486,-3.1300568408236784,-4.785633768792466,-7.5301783640773206,-4.785633768792466
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89_lvl27,-44.98604149663865,-2.5418849083137047,-2.0337555323086995,-2.44487026330335,-2.0337555323086995
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl78,-48.30093682657831,-1.2380791549839993,-2.453195031591954,-3.1322095524747957,-1.2380791549839993
41fdb80c-6516-4d73-8b79-6f863a3287d0_lvl161,-66.3872427690261,-1.2067137021245757,-2.6299137914986987,-3.163158183861353,-1.2067137021245757
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89_lvl122,-27.43170033830911,-1.3175124174927957,-3.9051225659666353,-2.932349148971579,-3.9051225659666353
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89_lvl179,-29.548454159698,-3.0890566932738084,-2.739312543919896,-6.323684929461141,-2.739312543919896
73793320-1d3e-42d8-afa1-e7260980cd3c_lvl93,-47.8752127374171,-0.7169693190337221,-1.17827721249477,-2.2535448478347058,-2.2535448478347058
73793320-1d3e-42d8-afa1-e7260980cd3c_lvl189,-73.88734786665101,-4.62566083054758,-3.7453732267696207,-7.310408522854963,-7.310408522854963
682c494e-d831-4220-a5a4-fc4ba17165db_lvl97,-46.31675398466274,-0.19727410342224042,-1.0039683536749429,-0.3993772099994784,-0.19727410342224042
682c494e-d831-4220-a5a4-fc4ba17165db_lvl116,-96.48668335581701,-1.797398944471696,-4.524533155676235,-5.479266603377007,-1.797398944471696
10076030-cd09-4885-95f3-6ac9425016ec_lvl11,-20.90960171404125,-0.6716041734641305,-1.2983779208502353,-3.309255837044189,-3.309255837044189
10076030-cd09-4885-95f3-6ac9425016ec_lvl123,-46.16177140211275,-1.8125163792594272,-2.2213951537798273,-4.603114999692495,-4.603114999692495
d19a149b-1d08-4720-bc60-716abcb6be88_lvl199,-41.926328345752125,-3.425079424388134,-5.6801725900337505,-6.209372366194029,-6.209372366194029
d19a149b-1d08-4720-bc60-716abcb6be88_lvl90,-19.25935072916063,-0.1127221107031672,-3.0175419145747187,-2.763954621380123,-2.763954621380123
daeba09e-2e25-49f2-bc1f-182fd053f3a4_lvl177,-29.26201583001128,-0.5234111859003661,-1.4288902274376676,-1.629007841090528,-1.4288902274376676
daeba09e-2e25-49f2-bc1f-182fd053f3a4_lvl61,-26.82221837511402,-0.7326898029376777,-4.667998842052879,-4.378506495113132,-4.667998842052879
df68c988-120e-42a0-a498-7d7a567e9bc3_lvl24,-109.90089555932478,-2.822099427001685,-3.435772193165215,-2.374933934553886,-2.822099427001685
df68c988-120e-42a0-a498-7d7a567e9bc3_lvl53,-38.07854704404504,-1.9108713621253615,-2.944568234098597,-2.7598845383850352,-1.9108713621253615
daeba09e-2e25-49f2-bc1f-182fd053f3a4_lvl187,-43.554318634762986,-2.832713578637909,-3.164778003453554,-2.9637456076910618,-3.164778003453554
daeba09e-2e25-49f2-bc1f-182fd053f3a4_lvl60,-18.707926700922442,-1.778572105960581,-2.800707005050884,-3.0504622348475734,-2.800707005050884
df68c988-120e-42a0-a498-7d7a567e9bc3_lvl175,-83.74988786832388,-2.6223690907577155,-4.657648178647043,-5.605495609739375,-2.6223690907577155
df68c988-120e-42a0-a498-7d7a567e9bc3_lvl107,-46.291380643040284,-1.918899617857926,-2.257058563862779,-3.6988580671267752,-1.918899617857926
b0e1b70f-4fab-4540-bb3c-3bdbdfaf3cfe_lvl137,-37.6378071963714,-3.04682005904949,-8.332427907189638,-4.439552381971172,-4.439552381971172
b0e1b70f-4fab-4540-bb3c-3bdbdfaf3cfe_lvl112,-63.28294298494875,-1.7766198337368855,-3.7106986526625363,-4.927498511739706,-4.927498511739706
c09113a4-46c7-4ffc-8af8-c09e9fcb3ff8_lvl145,-53.43783978332305,-2.7420088638992275,-4.280448540654678,-4.120474444949936,-2.7420088638992275
c09113a4-46c7-4ffc-8af8-c09e9fcb3ff8_lvl58,-78.8407283674296,-1.3260474772205402,-2.093498692334076,-2.319721494205511,-1.3260474772205402
765cec57-b27c-4efa-a54c-3b025ba97aef_lvl13,-24.244201863183854,-0.6056522854245568,-1.7319894042208686,-2.216170814852365,-0.6056522854245568
765cec57-b27c-4efa-a54c-3b025ba97aef_lvl158,-29.084604440972598,-4.057377208311858,-4.70119694077423,-7.117152622686086,-4.057377208311858
8ca1d2dc-4daa-44d9-a842-659c691eac35_lvl62,-159.0518804701359,-0.39789867364070547,-1.559596018311292,-3.436775026569324,-0.39789867364070547
8ca1d2dc-4daa-44d9-a842-659c691eac35_lvl118,-46.98153365114253,-2.8513786625419493,-2.4556442197563646,-4.829139429559611,-2.8513786625419493
735b485e-f9ca-4749-aa61-aa2a98a00d18_lvl19,-51.72063655739203,-2.521166289237795,-4.731069574992667,-5.859131280945363,-2.521166289237795
735b485e-f9ca-4749-aa61-aa2a98a00d18_lvl49,-38.31407896881379,-3.8632861251873294,-4.299557048768268,-4.829759753760114,-3.8632861251873294
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl104,-101.40747933782325,-8.253602010601746,-4.026812346438334,-5.079556632295663,-5.079556632295663
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl195,-108.3371116678739,-6.9808869887089875,-2.8761401502618673,-2.2178852177416357,-2.2178852177416357
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl120,-53.60108648149387,-1.926267635701322,-1.6749105122536114,-2.8370131574527444,-2.8370131574527444
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl65,-30.395498229630025,0.2768376265850771,-0.7640171786314877,-0.6074658150017072,-0.6074658150017072
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl186,-75.8320186803098,-3.8078513355195733,-3.5729422636681867,-2.6160770444479367,-3.5729422636681867
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl33,-50.612440246632566,-1.4923966635596686,-2.393612326333018,-3.1956182926818313,-2.393612326333018
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl42,-101.58665362686415,-3.215795182812695,-4.417147181904794,-3.363818122121152,-4.417147181904794
3b6c9df2-5083-4d49-9861-cbe74afe4619_lvl11,-37.402841380127136,-0.7039578449556491,-1.6950942466927,-4.444431899544708,-1.6950942466927
2f8867e8-63a9-49b2-b90f-3796db45201d_lvl32,-62.201659938435505,-1.2641148376193128,-4.067958559930087,-3.0934703503909913,-3.0934703503909913
2f8867e8-63a9-49b2-b90f-3796db45201d_lvl87,-64.07024464420458,-5.591038732347977,-6.591861147178924,-9.569070817632978,-9.569070817632978
a89045cd-3900-400f-85c2-74b49190c972_lvl54,-46.164715532641885,-5.363647398976413,-5.657464319850457,-8.064656209147245,-8.064656209147245
a89045cd-3900-400f-85c2-74b49190c972_lvl159,-40.39850189828232,-4.730031107723306,-6.067928103321567,-6.093982645863227,-6.093982645863227
a89045cd-3900-400f-85c2-74b49190c972_lvl44,-40.23145038636472,-2.6932881786797696,-3.371387764363341,-3.2126090437970047,-3.2126090437970047
a89045cd-3900-400f-85c2-74b49190c972_lvl187,-64.80149272303959,-3.5271927376236722,-3.5790785898636055,-3.9344909211373817,-3.9344909211373817
769a7824-b9fe-4936-b87b-cab185803a17_lvl141,-48.96947623543625,-6.288415661232256,-3.1482334021938474,-3.384884265726505,-6.288415661232256
769a7824-b9fe-4936-b87b-cab185803a17_lvl57,-41.82147110230431,-3.322900596113885,-4.391154998910673,-3.4523462488134835,-3.322900596113885
769a7824-b9fe-4936-b87b-cab185803a17_lvl99,-42.25604121836722,-2.209477483423483,-2.032412757557987,-4.908873363758977,-2.209477483423483
769a7824-b9fe-4936-b87b-cab185803a17_lvl21,-44.424863495758025,-3.4284100274027973,-4.133848530400038,-5.875576043384299,-3.4284100274027973
c4699748-0982-4c0d-97ec-287b108f8897_lvl194,-69.35132568672918,-4.205523709455734,-5.019389999533128,-5.334527146354447,-4.205523709455734
c4699748-0982-4c0d-97ec-287b108f8897_lvl116,-120.4947570283598,-1.797398944471696,-4.524533155676235,-5.479266603377007,-1.797398944471696
fd747ef3-188e-4a86-b65d-7d3da34e1566_lvl114,-27.80659989109138,-2.625520061276794,-4.436359769822294,-6.384235310066331,-2.625520061276794
fd747ef3-188e-4a86-b65d-7d3da34e1566_lvl86,-26.1774846459398,-3.927858178261208,-2.799289352796765,-3.7980005765900042,-3.927858178261208
fd747ef3-188e-4a86-b65d-7d3da34e1566_lvl61,-49.71698348747601,-0.7326898029376777,-4.667998842052879,-4.378506495113132,-0.7326898029376777
fd747ef3-188e-4a86-b65d-7d3da34e1566_lvl17,-24.019256723031333,-2.987740040679921,-3.91900966466792,-3.3718486719622023,-2.987740040679921
e2215704-e65c-4f6f-893c-abdf71a1fd5f_lvl132,-25.809045705299795,-3.509088396443562,-4.0997999487386245,-5.263922592635577,-3.509088396443562
e2215704-e65c-4f6f-893c-abdf71a1fd5f_lvl129,-26.35302008067588,-3.1980931213450834,-4.921510152901133,-5.915391708233725,-3.1980931213450834
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5_lvl27,-30.542567824577056,-2.5418849083137047,-2.0337555323086995,-2.44487026330335,-2.44487026330335
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5_lvl168,-36.476921209844356,-5.009090726859643,-2.1336096397453317,-5.445400547684142,-5.445400547684142
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5_lvl62,-36.744780610811205,-0.13602968628534795,-1.6512260879310334,-3.222031447442269,-3.222031447442269
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5_lvl142,-31.052248925651735,-2.458120367780809,-4.671705011509705,-4.483571444840598,-4.483571444840598
f70206b2-9f39-46ed-a0a8-5ef111e5efae_lvl47,-41.16735429062792,-0.19821403935359294,-1.0473983460254732,-0.4630906279390907,-0.19821403935359294
f70206b2-9f39-46ed-a0a8-5ef111e5efae_lvl68,-27.336071001941765,-0.4443899728717582,-0.6848696608525421,-1.6782012902125252,-0.4443899728717582
f5316da9-ca44-46c2-937a-c669e5689fad_lvl73,-30.533119377083203,-2.434695968358571,-4.986601394349342,-2.646791214618419,-2.434695968358571
f5316da9-ca44-46c2-937a-c669e5689fad_lvl109,-21.258825828435597,-3.2051751304277816,-2.4156235909472197,-3.1461796393981984,-3.2051751304277816
f5316da9-ca44-46c2-937a-c669e5689fad_lvl66,-103.82590779104598,-1.0208268755703123,-5.727076209588345,-3.748230978536964,-1.0208268755703123
f5316da9-ca44-46c2-937a-c669e5689fad_lvl179,-47.55294424714014,-3.0890566932738084,-2.739312543919896,-6.323684929461141,-3.0890566932738084
4a41095c-af10-4826-a020-f46e74ae8355_lvl125,-26.715754871057285,-0.3217268144490377,-1.9263954476016907,-2.540124884652765,-1.9263954476016907
4a41095c-af10-4826-a020-f46e74ae8355_lvl19,-44.95260083458252,-2.521166289237795,-4.731069574992667,-5.859131280945363,-4.731069574992667
4a41095c-af10-4826-a020-f46e74ae8355_lvl177,-27.53515443518148,-0.5657690237841021,-1.5722225808376498,-1.5834372894093371,-1.5722225808376498
4a41095c-af10-4826-a020-f46e74ae8355_lvl198,-46.713781189131964,-3.980771749649959,-5.893428265315461,-5.409739381597728,-5.893428265315461
0efc394c-f40d-4a2c-b436-95edd8772331_lvl174,-106.55010676142778,-3.9688577669674037,-3.161351919924255,-5.591996122098648,-5.591996122098648
0efc394c-f40d-4a2c-b436-95edd8772331_lvl192,-60.01765400572853,-4.8631245719215,-4.433342723098326,-4.975680026523408,-4.975680026523408
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl37,-66.7226888425295,-1.3042948695157424,-1.408949260194733,-2.380253681398413,-2.380253681398413
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl167,-112.75340482220446,-2.623251425674467,-4.073907670644322,-5.892239144422242,-5.892239144422242
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl33,-37.81051390714544,-1.4923966635596686,-2.393612326333018,-3.1956182926818313,-3.1956182926818313
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl18,-59.468345065673226,-2.18267083887245,-2.8721389184272277,-4.667111579096922,-4.667111579096922
f51c61ef-825a-45c2-ac37-22a2c895cd41_lvl126,-49.68539348904146,-2.9160292476374154,-3.49192309750625,-3.3603609677756094,-3.3603609677756094
f51c61ef-825a-45c2-ac37-22a2c895cd41_lvl142,-42.30565075792974,-2.890700102068479,-4.650885800145779,-4.082838581867165,-4.082838581867165
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl125,-54.9757053526622,-0.3217268144490377,-1.9263954476016907,-2.540124884652765,-0.3217268144490377
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl71,-54.610861877381694,-5.139610436405894,-2.3542416690166927,-1.6420329108164227,-5.139610436405894
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl130,-40.26748776959122,-2.434406230420917,-1.765941182418721,-2.7324867192975613,-2.434406230420917
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl95,-44.99101999848389,-1.1397925424073907,-3.5108665410528674,-3.8875661063770197,-1.1397925424073907
e357e3de-be46-4360-b98a-d4c599431be7_lvl57,-49.10273249989379,-3.322900596113885,-4.391154998910673,-3.4523462488134835,-3.322900596113885
e357e3de-be46-4360-b98a-d4c599431be7_lvl27,-40.69562898912389,-2.5418849083137047,-2.0337555323086995,-2.44487026330335,-2.5418849083137047
e357e3de-be46-4360-b98a-d4c599431be7_lvl167,-35.76972570862385,-2.1864444180360123,-3.9120696855391275,-4.487853277193385,-2.1864444180360123
e357e3de-be46-4360-b98a-d4c599431be7_lvl64,-87.2918578849608,0.47091974442105505,-1.6576088282675734,-3.3509739721092378,0.47091974442105505
e357e3de-be46-4360-b98a-d4c599431be7_lvl97,-60.9108114509268,-1.021830665484641,-1.8523149563487542,-1.17485067930226,-1.021830665484641
e357e3de-be46-4360-b98a-d4c599431be7_lvl38,-59.50534281326455,-3.8367355535317333,-6.927709880432977,-6.299036260686679,-3.8367355535317333
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl128,-27.132097823843218,-4.517032673427391,-6.546285931089425,-3.7042444266441716,-4.517032673427391
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl54,-33.17352458489356,-6.9251414225720715,-6.243218108895964,-8.583635909786933,-6.9251414225720715
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl14,-22.301570002639075,-0.5125118538553525,-0.14939774010786133,-0.8637023376796236,-0.5125118538553525
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl30,-27.73527671660072,-3.6465972906910022,-8.07732249179825,-2.893070144543272,-3.6465972906910022
56b8e4ac-4757-4679-ac36-030931987b90_lvl145,-22.87123799010341,-2.7420088638992275,-4.280448540654678,-4.120474444949936,-2.7420088638992275
56b8e4ac-4757-4679-ac36-030931987b90_lvl114,-16.12765420532852,-3.112749102911165,-4.937175162367925,-7.250153751627143,-3.112749102911165
76027eb9-e5df-464c-84e0-88c816678977_lvl132,-25.38106762193255,-3.509088396443562,-4.0997999487386245,-5.263922592635577,-3.509088396443562
