ID,fL,fG-T,fG-R,fG-K,fG-C,fG-A,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl112,0.7454614307397266,-6.904704713770168,0.7640044528977482,0.8320650852823318,0.4478324881422743,0.4478324881422743,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl195,0.5138931054177106,-5.84661384516786,-0.7902120835484245,0.8277156488257525,0.7792347587451685,0.7792347587451685,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl44,0.2178632645991834,-2.304092878461354,0.1488043570761031,-0.1696521773910619,-0.3767696667226504,-0.3767696667226504,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl69,0.8132957536573073,-4.5534058263053225,0.7270483141944202,0.7888386678491206,0.5688353072814091,0.5688353072814091,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl173,0.2865243662655706,-75.31831153714911,0.7844556909442689,0.8297714288335678,0.8486402088852064,0.8486402088852064,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl178,0.6100635292448554,-11.245014443967907,0.23267065741127366,0.2100335941405793,-0.41651487970834916,-0.41651487970834916,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl29,0.8689779343784341,-16.147184503029045,0.2566111336676816,0.32806531888435575,0.24806769942500076,0.24806769942500076,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl115,0.7770625870878812,-6.205276916450546,0.37657275544633784,0.12569180176155678,0.16808474051469052,0.37657275544633784,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl151,0.6616774677564776,-8.600490510507164,0.8325896169029444,0.5491411386711272,0.5857322260063268,0.8325896169029444,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl55,0.8475899743801478,-11.601568284039304,0.7257457273049027,0.750293863315789,0.6664541280436014,0.7257457273049027,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl79,0.7844784866623212,-9.72149041315707,0.24820872474613365,0.31508617256444554,0.4972310521633041,0.24820872474613365,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,0.8328631122268608,-10.487445846121126,0.6294438948142397,0.638185606550899,0.4644672187758394,0.6294438948142397,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,0.8331859623146799,-5.928177391165942,0.4948022995003273,0.4174909489020482,0.5038805589334339,0.4948022995003273,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,0.8392086288456873,-0.8911748238956854,0.44971471116332074,0.49203523722030373,0.3155249881324767,0.44971471116332074,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,0.7436223257277862,-8.436276780523778,0.8753909786078237,0.925888015059894,0.13785859490803593,0.8753909786078237,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl102,0.4429685085958678,-18.299576056648835,0.4904987923768971,-1.3308595563724301,0.5383920664010392,0.5383920664010392,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl174,0.6624392731104962,-33.12305146015847,0.5566596401325942,0.6914368912094013,0.23494418884749424,0.23494418884749424,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl192,0.5112471469451584,-17.714614827306338,0.21056741205381613,0.345704821005941,0.37413945922964814,0.37413945922964814,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl63,0.5160544348616358,-7.595497013594103,0.5293749920710403,0.7597311673135421,0.38353256451797474,0.38353256451797474,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d_lvl13,0.8932647699278317,-10.529618015808596,0.7567048210624248,0.724291896730919,0.5704099547697449,0.5704099547697449,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d_lvl94,0.7567534438460553,-6.159088371516128,0.7836053856478121,0.21357818206233803,0.1919758599072794,0.1919758599072794,
10076030-cd09-4885-95f3-6ac9425016ec_lvl11,0.8372409939788593,-4.590064761823587,0.7882743757371546,0.836706699129597,0.5962839681767133,0.5962839681767133,
10076030-cd09-4885-95f3-6ac9425016ec_lvl123,0.751145614402123,-12.993606340386792,0.8160541350427067,0.6319789475550422,0.41097470387579393,0.41097470387579393,
10076030-cd09-4885-95f3-6ac9425016ec_lvl200,-0.1408867529491781,-6.261558254377274,0.20409644137425947,0.8479048709327501,0.6164103604213442,0.6164103604213442,
10076030-cd09-4885-95f3-6ac9425016ec_lvl93,0.7226768964505262,-21.96977860859856,0.8012131017220725,0.8341600694288073,0.7955266568553895,0.7955266568553895,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl138,0.6911665016088151,-15.09894649199329,0.1624251775956496,0.37917415830961526,0.4004642572935863,0.1624251775956496,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl150,0.6800878852417577,-9.933932933858287,0.8394832401033671,0.5576625369077092,0.7537857053857947,0.8394832401033671,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl159,0.6792383290367291,-13.234015520746809,0.24324233611036306,-0.030295084542389907,0.05014658625785842,0.24324233611036306,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl60,0.7930364445465935,-12.47590094845779,0.921550122736704,0.8102841601565862,0.7649763914583764,0.921550122736704,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl122,0.6939756803128374,-11.47728937979266,0.8147586434396104,0.30050231742412364,0.6518769885031035,0.8147586434396104,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl151,0.6616774677564776,-22.89461406141493,0.8325896169029444,0.5491411386711272,0.5857322260063268,0.8325896169029444,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl21,0.8849410832671889,-7.845820909929682,0.24961151626544922,0.02494718475204111,-0.4340223069257762,0.24961151626544922,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl62,0.8263419838144045,-8.160678367635606,0.8377901413061626,0.9114274193479421,0.7195907549644518,0.8377901413061626,
1dde97e4-3c95-4369-8793-baee2d3216f3_lvl132,0.7092523864404693,-8.601320221533717,0.48448253041159933,0.5837661452637735,0.27950333393956245,0.48448253041159933,
1dde97e4-3c95-4369-8793-baee2d3216f3_lvl88,0.8086724258504083,-10.908268449245872,0.7900121210623078,0.6640944747308593,0.7455598391597533,0.7900121210623078,
1dde97e4-3c95-4369-8793-baee2d3216f3_lvl98,0.8210487584575592,-9.126019219908375,0.737104629631682,0.48082362631320996,0.08908146448598274,0.737104629631682,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl125,0.7158016437626237,-15.93158432390328,0.7850047741651708,0.7251588612148618,0.6606533375448863,0.7850047741651708,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl130,0.6738640545523039,-11.028845129546282,0.42940655611084133,0.8243363562728793,0.6663319691448342,0.42940655611084133,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl71,0.7981865902682835,-15.809969832143103,-0.27337303970097404,0.6629112694813504,0.8073585679325561,-0.27337303970097404,
1f832b78-6dd1-4b19-b30b-51960d91b031_lvl95,0.7862772917502273,-12.603355872510509,0.6405510587786698,0.4954611716322777,0.2589539820755926,0.6405510587786698,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl109,0.7391867913489214,-4.928032676849063,0.48428271872014617,0.8242347092962953,0.6922856877467176,0.48428271872014617,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl192,0.6276727702372022,-9.300816365159978,0.2639065842204639,0.33373749228571076,0.44298964534769514,0.2639065842204639,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl29,0.8681235841489346,-8.38636966032769,0.3004967055524157,0.30774497951562696,0.19504048188490788,0.3004967055524157,
2482c1ca-0da2-4288-a8a6-c5e41050e310_lvl3,0.8766634728822867,-5.052901251957034,0.7951177423883101,0.37233766369500787,0.8944783986415004,0.7951177423883101,
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl186,0.5567724036141938,-27.725504099614287,0.018714302731820343,0.42925358162453087,0.611390108129857,0.611390108129857,
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl31,0.8238163126449447,-18.226197905142723,0.9118953808327248,0.8968600222626306,0.8711160015242434,0.8711160015242434,
2831d68c-40b8-4ba0-8974-1afacaed6762_lvl80,0.7949557751676287,-26.045268375028968,0.5009217299499273,0.10688136788354723,-0.3773488989262699,-0.3773488989262699,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl167,0.5627252629214271,-35.29319843279831,0.6873674054672148,0.4411269840662492,-0.2701983402881142,-0.2701983402881142,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl18,0.8482630953369302,-17.42913089490695,0.7085738712319752,0.6323894696203685,0.33930693641493803,0.33930693641493803,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl33,0.8328631122268608,-10.209853842064357,0.6294438948142397,0.638185606550899,0.4644672187758394,0.4644672187758394,
28421ba1-9bc5-43b1-a287-2a5bd3554433_lvl37,0.8393921897916077,-19.84724548719237,0.7989354029270698,0.8785801475147363,0.7145989393667967,0.7145989393667967,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl104,0.6801314036147232,-31.51122327133791,-0.6390211863275828,0.5986742805921538,0.38642014049696793,0.38642014049696793,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl120,0.6999743557217768,-15.473378033513836,0.8714961523837108,0.9318769213367474,0.7968162299983029,0.7968162299983029,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl195,0.6071824589280534,-33.71871976230717,-0.38270838371840116,0.7402956632699038,0.8200132386935689,0.8200132386935689,
2a8b8b1b-a314-4c4d-9721-8b94797932fb_lvl65,0.7832645770695322,-7.768462897564327,0.7325927050226791,0.7941390798189517,0.8132728359631965,0.8132728359631965,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl10,0.8872979277266032,-1.9971856093131104,0.8560487587409725,0.8884392434320616,0.9021340500067673,0.8560487587409725,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl104,0.6887848132323903,-9.95407583437066,-0.38549723232103317,0.6690194753970525,0.5010349954401945,-0.38549723232103317,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl7,0.9210643403637216,-8.256772611070703,0.5200709588225764,0.725735699551708,0.6082184953303952,0.5200709588225764,
2f12fa57-37c6-4486-be84-ac4e5dc569c2_lvl75,0.7984059109703612,-10.391008896580782,0.1503125364773588,0.6130202352095817,0.47183296251681633,0.1503125364773588,
2f8867e8-63a9-49b2-b90f-3796db45201d_lvl32,0.8319958325767746,-18.340235852494374,0.8877872294735163,0.5216459048546095,0.7230984891032534,0.7230984891032534,
2f8867e8-63a9-49b2-b90f-3796db45201d_lvl87,0.8077175954256695,-18.963097421084072,-0.07909031883074052,-0.14261872775953477,-1.0833229353674438,-1.0833229353674438,
33253213-2bfe-40e3-8131-2e175da84c1c_lvl12,0.8538239639713613,-5.91223275528815,0.7399952609743746,0.6265332985556186,0.7320996424521365,0.7320996424521365,
33253213-2bfe-40e3-8131-2e175da84c1c_lvl172,0.7204401402129933,-33.96059007907448,-1.0416654259835645,-0.4623205384219888,-0.5796347257998685,-0.5796347257998685,
