ID,fL,fG,
067d54d0-b2cc-4d65-9348-f1dae3fc9398_lvl170,0.503589104710858,-11.726549861393837,
067d54d0-b2cc-4d65-9348-f1dae3fc9398_lvl23,0.8863797835717062,-14.457098253631022,
067d54d0-b2cc-4d65-9348-f1dae3fc9398_lvl49,0.834978047920999,-5.877220076219948,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl112,0.7454614307397266,-6.904704713770168,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl195,0.5138931054177106,-5.84661384516786,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl44,0.21786326459918348,-2.304092878461354,
08836143-6ee3-439a-96fc-01d1ef8931b6_lvl69,0.8132957536573073,-4.5534058263053225,
0af703b3-a499-45df-93df-53052633ff12_lvl100,0.6523790899421158,-17.12498890404596,
0af703b3-a499-45df-93df-53052633ff12_lvl194,0.6112026980085751,-19.570203517816324,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl173,0.28652436626557065,-75.31831153714911,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl178,0.6100635292448554,-11.245014443967909,
0c490eda-0204-4232-aca2-4918ee2e8bf8_lvl29,0.8689779343784341,-16.147184503029045,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl115,0.7770625870878812,-6.205276916450546,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl151,0.6616774677564776,-8.600490510507164,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl55,0.8475899743801478,-11.601568284039304,
0c742b9d-e162-44c4-b3c9-13447fd0d608_lvl79,0.7844784866623212,-9.72149041315707,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl33,0.8328631122268608,-10.487445846121126,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl42,0.8331859623146799,-5.928177391165942,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl43,0.8392086288456873,-0.8911748238956854,
0cbaa3ae-5376-4d7f-8053-7daba92be456_lvl91,0.7436223257277862,-8.436276780523778,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl102,0.44296850859586784,-18.299576056648835,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl174,0.6624392731104962,-33.12305146015847,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl192,0.5112471469451584,-17.714614827306338,
0efc394c-f40d-4a2c-b436-95edd8772331_lvl63,0.5160544348616358,-7.595497013594103,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d_lvl13,0.8932647699278317,-10.529618015808596,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d_lvl94,0.7567534438460553,-6.159088371516128,
10076030-cd09-4885-95f3-6ac9425016ec_lvl11,0.8372409939788593,-4.590064761823587,
10076030-cd09-4885-95f3-6ac9425016ec_lvl123,0.751145614402123,-12.993606340386792,
10076030-cd09-4885-95f3-6ac9425016ec_lvl200,-0.14088675294917813,-6.261558254377274,
10076030-cd09-4885-95f3-6ac9425016ec_lvl93,0.7226768964505262,-21.96977860859856,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl138,0.6911665016088151,-15.09894649199329,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl150,0.6800878852417577,-9.933932933858289,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl159,0.6792383290367291,-13.234015520746807,
105c0e47-62cc-417d-9ffc-4dd7da969125_lvl60,0.7930364445465935,-12.47590094845779,
15441163-83ea-493e-adda-61d2b8d8d5b0_lvl184,0.4072565375839867,-39.527294992260536,
15441163-83ea-493e-adda-61d2b8d8d5b0_lvl58,0.6101946382841188,-3.7328931582603766,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl122,0.6939756803128374,-11.477289379792659,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl151,0.6616774677564776,-22.89461406141493,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl21,0.8849410832671889,-7.8458209099296825,
1ad4daba-e8aa-483d-b19c-35350298d740_lvl62,0.8263419838144045,-8.160678367635606,
