ID,R1,R2,R3,C,K,R,time,PAD
0cbaa3ae-5376-4d7f-8053-7daba92be456,r,k,c,Collector-42,Killer-29,Runner-16,2023-04-27 16:31:44.310043,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,c,r,k,Collector-85,Killer-76,Runner-5,2023-04-27 17:03:44.582384,
a11999eb-48ab-4655-b2e7-a102e7210111,k,r,c,Collector-59,Killer-22,Runner-41,2023-04-27 17:36:19.142618,
43cb580e-dcc1-438e-b4dc-19303e208aaf,c,k,r,Collector-68,Killer-74,Runner-7,2023-04-27 19:29:10.644088,
43cb580e-dcc1-438e-b4dc-19303e208aaf,c,k,r,Collector-4,Killer-71,Runner-44,2023-04-27 19:35:03.267315,
a680318c-8079-4ec8-9ea6-80ae2addc343,c,k,r,Collector-98,Killer-63,Runner-21,2023-04-27 22:09:25.213684,
2f12fa57-37c6-4486-be84-ac4e5dc569c2,c,r,k,Collector-21,Killer-59,Runner-50,2023-05-05 15:28:32.465613,
70d6994c-b6d4-4e92-9d50-e1c25931d401,c,k,r,Collector-66,Killer-94,Runner-28,2023-05-05 16:24:39.809583,
70d6994c-b6d4-4e92-9d50-e1c25931d401,c,k,r,Collector-19,Killer-77,Runner-26,2023-05-05 16:29:05.735807,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,c,k,r,Collector-43,Killer-83,Runner-35,2023-05-05 17:30:51.353587,
90237211-82c9-4695-9a59-8d975f6bef3a,c,r,k,Collector-46,Killer-80,Runner-21,2023-05-05 17:51:32.236779,
90237211-82c9-4695-9a59-8d975f6bef3a,c,k,r,Collector-47,Killer-62,Runner-40,2023-05-05 17:57:08.657132,
fdb9bf30-0d9b-4985-bdff-661806be4fe5,r,c,k,Collector-50,Killer-3,Runner-86,2023-05-05 19:06:19.030867,
2482c1ca-0da2-4288-a8a6-c5e41050e310,c,k,r,Collector-45,Killer-26,Runner-86,2023-05-05 20:02:12.822300,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,k,r,c,Collector-48,Killer-26,Runner-34,2023-05-05 21:56:17.870318,
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c,c,r,k,Collector-96,Killer-82,Runner-34,2023-05-06 00:21:41.386795,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0,r,c,k,Collector-78,Killer-98,Runner-52,2023-05-06 09:15:47.759554,
0c490eda-0204-4232-aca2-4918ee2e8bf8,k,c,r,Collector-35,Killer-0,Runner-65,2023-05-06 09:36:04.780496,
4324f040-147a-443b-b639-125efb4faf24,k,r,c,Collector-96,Killer-43,Runner-70,2023-05-06 11:35:39.034192,
4324f040-147a-443b-b639-125efb4faf24,c,k,r,Collector-64,Killer-27,Runner-29,2023-05-06 11:43:21.237423,
a3bbdd04-4020-4bc8-95d2-692568fe9115,k,c,r,Collector-49,Killer-57,Runner-1,2023-05-06 15:11:24.073894,
067d54d0-b2cc-4d65-9348-f1dae3fc9398,c,k,r,Collector-7,Killer-28,Runner-70,2023-05-06 16:55:19.347278,
4013d0a0-8554-4fdb-9e59-aa8409877849,c,k,r,Collector-20,Killer-4,Runner-11,2023-05-06 17:17:22.369854,
4013d0a0-8554-4fdb-9e59-aa8409877849,c,k,r,Collector-68,Killer-55,Runner-3,2023-05-06 17:20:06.579528,
2831d68c-40b8-4ba0-8974-1afacaed6762,k,r,c,Collector-82,Killer-76,Runner-70,2023-05-06 19:30:51.261943,
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89,c,k,r,Collector-64,Killer-97,Runner-30,2023-05-06 21:26:45.499953,
